Read,DNF,Author,Series Title,#In Series,Title,Page Count,Edition,Digitally Signed,Signed,Sprayed Edges,Hidden Cover,Reversable Dust Jacket,Started Reading,Finished Reading,Rating,Publisher,Gifted
TRUE,FALSE,Lauren Roberts,The Powerless Trilogy,1.5,Powerful,246,Hardback Waterstones Exclusive,FALSE,FALSE,TRUE,TRUE,TRUE,,,,,
TRUE,FALSE,Lauren Roberts,The Powerless Trilogy,2,Reckless,388,Hardback Waterstones Exclusive,FALSE,FALSE,TRUE,TRUE,TRUE,01/10/2024,03/10/2024,3/5,Simon & Schuster,
TRUE,FALSE,Lexi Ryan,These Hollow Vows,1,These Hollow Vows,442,Paperback,FALSE,FALSE,FALSE,FALSE,FALSE,26/09/2023,29/09/2023,4/5,Hodder,
TRUE,FALSE,Lexi Ryan,These Hollow Vows,2,These Twisted Bonds,476,Paperback,FALSE,FALSE,FALSE,FALSE,FALSE,,,,Hodder,
TRUE,FALSE,Lexi Ryan,These Hollow Vows,1,These Hollow Vows,439,Fairyloot,FALSE,TRUE,TRUE,TRUE,TRUE,26/09/2023,29/09/2023,4/5,Hodder,
TRUE,FALSE,Lexi Ryan,These Hollow Vows,2,These Twisted Bonds,476,Fairyloot,FALSE,TRUE,TRUE,TRUE,TRUE,02/04/2024,07/04/2024,4/5,Hodder,
FALSE,FALSE,Lexi Ryan,Beneath These Cursed Stars,1,Beneath These Cursed Stars,413,Fairyloot,FALSE,TRUE,TRUE,TRUE,TRUE,,,,Hodder,
TRUE,FALSE,Liz Tomford,Windy City,1,Mile High,474,Paperback,FALSE,FALSE,FALSE,FALSE,FALSE,29/03/2023,31/03/2023,4/5,Indie,
TRUE,FALSE,Liz Tomford,Windy City,2,The Right Move,498,Paperback,FALSE,FALSE,FALSE,FALSE,FALSE,12/06/2024,14/06/2024,4/5,Hodder,Emma
TRUE,FALSE,Liz Tomford,Windy City,3,Caught Up,470,Paperback,FALSE,FALSE,FALSE,FALSE,FALSE,26/06/2024,08/07/2024,4/5,Hodder,
TRUE,FALSE,Liz Tomford,Windy City,4,Play Along,447,Paperback,FALSE,FALSE,FALSE,FALSE,FALSE,07/09/2024,10/09/2024,5/5,Hodder,Milton
TRUE,FALSE,Lucy Score,Knockmount,1,Things We Never Got Over,483,Paperback,FALSE,FALSE,FALSE,FALSE,FALSE,05/07/2023,10/07/2023,4/5,Hodder,
FALSE,FALSE,Lucy Score,Knockmount,2,Things We Left Behind,581,Paperback,FALSE,FALSE,FALSE,FALSE,FALSE,,,,Hodder,
TRUE,FALSE,Lyla Sage,Rebel Blue Ranch ,1,Done and Dusted,321,Paperback,FALSE,FALSE,FALSE,FALSE,FALSE,28/08/2024,30/08/2024,5/5,Quercus,
TRUE,FALSE,Lyla Sage,Rebel Blue Ranch ,2,Swift and Saddled,303,Paperback,FALSE,FALSE,FALSE,FALSE,FALSE,03/09/2024,05/09/2024,5/5,Quercus,
TRUE,FALSE,Lyla Sage,Rebel Blue Ranch ,3,Lost and Lassoed,300,Paperback,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,
FALSE,FALSE,Lyra Selene,Fair Folk,1,A Feather so Black,466,Fairyloot,TRUE,FALSE,TRUE,TRUE,TRUE,,,,Orbit,
TRUE,FALSE,Monica Murphy,Lancaster Prep,1,Things I Wanted to Say but Never Did,642,Paperback,FALSE,FALSE,FALSE,FALSE,FALSE,21/04/2023,23/04/2023,3/5,Penguin,
TRUE,FALSE,Monica Murphy,Lancaster Prep,2,A Million Kisses In Your Lifetime,533,Paperback,FALSE,FALSE,FALSE,FALSE,FALSE,17/01/2023,18/01/2023,4/5,Penguin,
TRUE,FALSE,Monica Murphy,Lancaster Prep,3,Promises We Meant to Keep,423,Paperback,FALSE,FALSE,FALSE,FALSE,FALSE,26/04/2023,27/04/2023,4/5,Penguin,
TRUE,FALSE,Monica Murphy,Lancaster Prep,4,I'll Always Be With You ,428,Paperback,FALSE,FALSE,FALSE,FALSE,FALSE,08/04/2024,11/04/2024,2/5,Penguin,
TRUE,FALSE,Olivia Dade,Harlots Bay,1,At First Spite,384,Paperback,FALSE,FALSE,FALSE,FALSE,FALSE,31/07/2024,11/08/2024,5/5,Piatkus,
TRUE,FALSE,Olivia Dade,Harlots Bay,1,At First Spite,384,Afterlight,FALSE,TRUE,TRUE,TRUE,FALSE,31/07/2024,11/08/2024,5/5,Piatkus,
TRUE,FALSE,Olivie Blake,,,One For My Enemy ,404,Hardback Waterstones Exclusive,FALSE,FALSE,TRUE,FALSE,FALSE,19/04/2024,12/07/2024,3/5,TOR,
FALSE,FALSE,Rachel Gillig,The Shepard King,1,One Dark Window,392,Paperback,FALSE,FALSE,FALSE,FALSE,FALSE,,,,Orbit,Milton
